,title,ownerId,link,isAnswered,answerCount
0,Backport EVP_PKEY_Q_KEYGEN to OpenSSL 1.1,2460632,https://stackoverflow.com/questions/75392993/backport-evp-pkey-q-keygen-to-openssl-1-1,1,True
1,The &#39;typing&#39; package is an obsolete backport of a standard library package and is incompatible with PyInstaller,14951773,https://stackoverflow.com/questions/70710731/the-typing-package-is-an-obsolete-backport-of-a-standard-library-package-and-i,3,True
2,Avoid transitive dependency on python typing backport?,2540669,https://stackoverflow.com/questions/75262818/avoid-transitive-dependency-on-python-typing-backport,0,False
3,How to backport a single file from &quot;today&quot; to &quot;very long ago&quot;?,1885442,https://stackoverflow.com/questions/61047234/how-to-backport-a-single-file-from-today-to-very-long-ago,0,False
4,Is it possible to backport &quot;yield_self&quot; to Ruby versions prior to 2.5?,74089,https://stackoverflow.com/questions/72897260/is-it-possible-to-backport-yield-self-to-ruby-versions-prior-to-2-5,1,True
5,How to backport Rake proxy to Rails 4?,74089,https://stackoverflow.com/questions/72630279/how-to-backport-rake-proxy-to-rails-4,0,False
6,Linux kernel: Backport and old external drivers,4612520,https://stackoverflow.com/questions/72604052/linux-kernel-backport-and-old-external-drivers,0,False
7,Where is the source code for Airflow backport providers?,9087739,https://stackoverflow.com/questions/72179512/where-is-the-source-code-for-airflow-backport-providers,1,True
8,Where to find a backport Spring4Shell fix from Spring 5.2.20/5.3.18 to Spring 4.3.x,11142,https://stackoverflow.com/questions/71860058/where-to-find-a-backport-spring4shell-fix-from-spring-5-2-20-5-3-18-to-spring-4,0,False
9,backport security patch for https://nvd.nist.gov/vuln/detail/CVE-2022-23593 and https://nvd.nist.gov/vuln/detail/CVE-2022-23592 to 2.7,8449114,https://stackoverflow.com/questions/71502617/backport-security-patch-for-https-nvd-nist-gov-vuln-detail-cve-2022-23593-and,0,False
10,apache-airflow-backport-providers-google fails to install with apache-airflow(1.10.12),9266090,https://stackoverflow.com/questions/68523210/apache-airflow-backport-providers-google-fails-to-install-with-apache-airflow1,2,True
11,ThreeTen-Backport error on Android - ZoneRulesException: No time-zone data files registered,6253504,https://stackoverflow.com/questions/38281808/threeten-backport-error-on-android-zonerulesexception-no-time-zone-data-files,5,True
12,Issue installing apache-airflow-backport-providers-google module on airflow instance of Google Composer,17020097,https://stackoverflow.com/questions/69589570/issue-installing-apache-airflow-backport-providers-google-module-on-airflow-inst,1,True
